DISTGENSIZ,DISTGENTYP,SUB,Longitude,Latitude
1.70000000000,Solar,102,-105.27156635600,38.95512175700
5.00000000000,Solar,403,-104.43800987600,39.75364435900
7.20000000000,Solar,207,-104.62852227600,39.56139192200
3.00000000000,Solar,311,-104.91033928000,39.41191881700
6.00000000000,Solar,305,-104.74764289800,39.45792391500
7.20000000000,Solar,310,-105.08114207600,39.44580684300
3.70000000000,Solar,303,-104.89017874800,39.39583381400
5.51000000000,Solar,310,-105.07810743800,39.47198633300
5.67000000000,Solar,301,-104.83181694600,39.37849527000
7.70000000000,Solar,310,-105.07766663500,39.47125959200
2.07000000000,Solar,302,-104.78244941700,39.50049858200
9.80000000000,Solar,207,-104.73503680700,39.52044891200
9.80000000000,Solar,506,-105.48955977100,39.41209376600
5.40000000000,Solar,204,-104.72267984400,39.62321917900
9.40000000000,Solar,303,-104.88949858000,39.38867989900
8.20000000000,Solar,202,-104.73678433500,39.56711053600
6.60000000000,Solar,207,-104.73694395700,39.51368024000
2.90000000000,Solar,308,-104.91768573800,39.11519591800
4.50000000000,Solar,305,-104.78254967800,39.42162878800
8.50000000000,Solar,305,-104.78143569500,39.37054530000
2.50000000000,Solar,306,-104.67948744900,39.39435199700
3.80000000000,Solar,306,-104.52498386100,39.50604225500
5.00000000000,Solar,205,-104.79018808100,39.54144042500
10.00000000000,Solar,201,-104.74542788600,39.60153585700
7.13000000000,Solar,202,-104.79552832800,39.55577574200
4.50000000000,Solar,314,-104.81408027000,39.50058437500
4.76000000000,Solar,301,-104.80540107500,39.36918397000
6.00000000000,Solar,310,-105.08900646700,39.46764567200
4.50000000000,Solar,303,-104.88854645200,39.39507438300
4.29000000000,Solar,304,-104.74521874700,39.51343864100
6.80000000000,Solar,314,-104.79577871900,39.49422025100
2.77000000000,Solar,401,-104.31972903100,39.75079290800
2.30000000000,Solar,314,-104.81847145800,39.50405887800
9.92000000000,Solar,314,-104.80158932900,39.50309939000
3.24000000000,Solar,306,-104.59922182600,39.36030453800
4.60000000000,Solar,303,-104.89086039600,39.39170668500
5.70000000000,Solar,305,-104.78328808600,39.42144709600
3.84000000000,Solar,301,-104.84711488000,39.38892543100
10.00000000000,Solar,202,-104.70901494800,39.54055147500
9.80000000000,Solar,301,-104.85011523800,39.38544181600
7.28000000000,Solar,101,-105.01850780700,38.96892101000
6.72000000000,Solar,207,-104.73594455400,39.51944721300
7.70000000000,Solar,207,-104.72896133900,39.51806411900
4.50000000000,Solar,314,-104.81343265200,39.50129060400
4.83000000000,Solar,103,-105.21313020000,38.95444378900
4.14000000000,Solar,205,-104.78464741500,39.54090488100
7.00000000000,Solar,204,-104.75038407000,39.63069638000
7.60000000000,Solar,305,-104.81877397900,39.39138794800
4.80000000000,Solar,312,-104.56257173800,39.37099102500
4.80000000000,Solar,207,-104.65886424100,39.50365662300
7.60000000000,Solar,314,-104.79428804800,39.50326026500
9.90000000000,Solar,318,-104.87110429700,39.44078603600
3.80000000000,Solar,317,-104.82722185000,39.38486872800
9.80000000000,Solar,201,-104.77794862400,39.61209491500
7.00000000000,Solar,305,-104.78180940100,39.41985698200
6.90000000000,Solar,306,-104.52294022400,39.50065807300
1.05000000000,Solar,509,-105.84455893400,39.38894327700
9.40000000000,Solar,303,-104.87440426300,39.38311890800
7.70000000000,Solar,306,-104.59723524900,39.46556027900
3.10000000000,Solar,505,-105.41521567500,39.41310373500
4.77000000000,Solar,504,-105.35394332000,39.49453596400
3.00000000000,Solar,306,-104.50680484900,39.51434353500
4.80000000000,Solar,303,-104.88967886700,39.39472532100
5.20000000000,Solar,317,-104.82893432700,39.38567558300
5.52000000000,Solar,504,-105.37773736800,39.43709879200
5.80000000000,Solar,306,-104.62442489900,39.30730822900
4.40000000000,Solar,204,-104.72941265500,39.61194446700
9.30000000000,Solar,506,-105.41526801700,39.37863648300
3.80000000000,Solar,314,-104.81431407700,39.50190251400
3.60000000000,Solar,301,-104.80207962500,39.36088486400
6.80000000000,Solar,302,-104.79555622200,39.52458110500
5.50000000000,Solar,311,-104.89550045900,39.42839583000
4.90000000000,Solar,303,-104.98452891000,39.25165041300
9.92000000000,Solar,504,-105.40526591500,39.48937864700
9.80000000000,Solar,504,-105.31240034400,39.47585322000
4.50000000000,Solar,303,-104.88902014400,39.39411088400
0.84000000000,Solar,103,-105.37976218800,38.98607969200
3.50000000000,Solar,209,-104.81273146300,39.56472385900
6.00000000000,Solar,309,-104.89939411700,39.48501840700
2.40000000000,Solar,306,-104.58139507200,39.28253011700
5.50000000000,Solar,314,-104.81472248300,39.50513084800
4.50000000000,Solar,314,-104.81408334800,39.50227407700
7.50000000000,Solar,208,-105.16638037600,39.60349120400
5.80000000000,Solar,303,-104.88745594800,39.39295957900
6.27000000000,Solar,304,-104.75255467200,39.49579974500
4.50000000000,Solar,303,-104.89095007300,39.39551503900
9.70000000000,Solar,310,-105.09469389000,39.46562614500
4.80000000000,Solar,303,-104.88991540600,39.39534297200
8.50000000000,Solar,304,-104.75936219300,39.50315037600
8.90000000000,Solar,201,-104.74546121400,39.60107435500
3.45000000000,Solar,204,-104.74902483400,39.62119669100
6.20000000000,Solar,301,-104.79022530500,39.37074352100
8.27000000000,Solar,206,-104.72431558500,39.62794296900
9.72000000000,Solar,305,-104.77549334200,39.43288241700
4.80000000000,Solar,207,-104.65756503300,39.52321070200
5.80000000000,Solar,303,-104.87168537100,39.35723672200
3.10000000000,Solar,401,-104.37259958300,39.74155098700
10.00000000000,Solar,206,-104.80404008200,39.62029915300
